E	2025-04-17 16:11:00		1	  tb_page_trace		 | app enter foreground
E	2025-04-17 16:09:53		2	  tb_page_trace		 | app enter background
D	2025-04-17 16:09:20		3	全局Error日志收集		Instance of 'FlutterErrorDetails'
D	2025-04-17 16:09:19		4	全局Error日志收集		Instance of 'FlutterErrorDetails'
D	2025-04-17 16:09:18		5	全局Error日志收集		Instance of 'FlutterErrorDetails'
D	2025-04-17 16:09:17		6	全局Error日志收集		Instance of 'FlutterErrorDetails'
D	2025-04-17 16:09:10		7	全局Info日志收集		{page_no: 1, page_size: 25, order_status_list: [2, 3, 14], audit_sub_status_list: [0, 1, 2, 3, 4, 5, 6, 7]}
D	2025-04-17 16:09:10		8	全局Info日志收集		{page_no: 1, page_size: 25, order_status_list: [13]}
D	2025-04-17 16:09:10		9	全局Info日志收集		{page_no: 1, page_size: 25, order_status_list: [1, 2, 3, 7, 8, 9, 10, 11, 12, 13, 14, 15]}
D	2025-04-17 16:09:10		10	全局Info日志收集		╚════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════╝
D	2025-04-17 16:09:10		11	全局Info日志收集		║    }
D	2025-04-17 16:09:10		12	全局Info日志收集		║         "data": {},
D	2025-04-17 16:09:10		13	全局Info日志收集		║         "code": 200,
D	2025-04-17 16:09:10		14	全局Info日志收集		║
D	2025-04-17 16:09:10		15	全局Info日志收集		║         "status": "ok"
D	2025-04-17 16:09:10		16	全局Info日志收集		║         "current": "1744877350176321159",
D	2025-04-17 16:09:10		17	全局Info日志收集		║    {
D	2025-04-17 16:09:10		18	全局Info日志收集		║         "error": "",
D	2025-04-17 16:09:10		19	全局Info日志收集		║
D	2025-04-17 16:09:10		20	全局Info日志收集		╚════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════════╝
D	2025-04-17 16:09:10		21	全局Info日志收集		╟ server: [istio-envoy]
D	2025-04-17 16:09:10		22	全局Info日志收集		╟ resp-start-time: [1744877350176]
D	2025-04-17 16:09:10		23	全局Info日志收集		╟ date: [Thu, 17 Apr 2025 08:09:10 GMT]
D	2025-04-17 16:09:10		24	全局Info日志收集		╟ req-cost-time: [41]
